WELL_NAME,UWI,BHI,COUNTRY,BASIN_NAME,OPERATOR,CLASS,Petrel Well Symbol,TCH_STAT,CONTENT,GEN_STATUS,SPUD_DT_YR,LTCOMP_DT,GRP_NAME,OP_ACRONYM,CONTRACT,BLOCK_NAME,FIELD_NAME,D_REF_TYPE,ELEV_REF_M,TD_M,DEV_TYPE,BLK_OP_ACR,TECH_STAT,GN_CONT,SPUD_DT_TX,WEL_ID,ALT_WNAME,W84_LAT_DG,W84_LON_DG,POINT_X,POINT_Y
Lekenik 1,HR00386566,HR0038656600,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1964,2/5/1965,INA,INA,,,,KB,109.00,1820.30,,,Abandoned,Dry/Shows,21 December 1964,100000593951,Lek-1,45.64092200000,16.12978400000,471143.46,5055742.57
Lepavina 03,HR00386569,HR0038656900,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1958,6/20/1958,INA,INA,,,,KB,228.00,1737.70,Vertical,,Abandoned,Dry/Shows,13 April 1958,100000109753,Lp-3,46.11210600000,16.70989600000,516228.40,5108063.66
Lepavina 04,HR00386570,HR0038657000,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1959,5/13/1959,INA,INA,,,,KB,217.00,1675.00,Vertical,,Abandoned,Dry/Shows,23 April 1959,100000109751,Lp-4,46.10983800000,16.70705400000,516009.38,5107811.02
Lepavina 09,HR00386575,HR0038657500,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Outpost,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1970,3/17/1970,INA,INA,,,Lepavina,KB,191.00,1773.40,,,Abandoned,Dry/Shows,12 February 1970,100000593954,Lp-9,46.11156400000,16.75177300000,519465.64,5108012.82
Lomnica 1,HR00381357,HR0038135700,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Geothermal,51,Completed,Oil,Water,1981,5/5/1981,INA,INA,,,,KB,115.00,1936.00,,,Completed,Water,01 May 1981,100000594183,Lom-1,45.72141800000,16.02000700000,462639.41,5064733.80
Lucanka 1,HR00381358,HR0038135800,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Geothermal,51,Completed,Oil,Water,1986,4/16/1986,INA,INA,,,,KB,122.00,950.00,,,Completed,Water,27 January 1986,100000594190,Luc-1,45.75485000000,15.87885000000,451680.14,5068524.86
Lukarisce 1,HR00386796,HR0038679600,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin,New-field wildcat,39,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1995,11/9/1995,INA NAFT,INA NAFT,,,,KB,114.00,2100.00,,,Abandoned,Dry/Shows,25 September 1995,100000202459,Luk-1,45.81641700000,16.26170100000,481485.14,5075207.14
Mahovo 1,HR00386812,HR0038681200,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1974,10/22/1974,INA,INA,,,,KB,98.00,2819.00,,,Abandoned,Dry/Shows,23 August 1974,100000594214,Mah-1,45.55915000000,16.41310900000,493220.22,5046592.06
Mahovo 2,HR00386813,HR0038681300,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1987,2/6/1988,INA,INA,,,,KB,98.00,2500.00,,,Abandoned,Dry/Shows,29 November 1987,100000594215,Mah-2,45.56703200000,16.42102800000,493839.31,5047467.36
Marca 1,HR00386815,HR0038681500,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1963,8/25/1963,INA,INA,,,,KB,112.00,728.00,,,Abandoned,Dry/Shows,08 August 1963,100000594216,Ma-1,45.76650500000,16.48926100000,499168.37,5069632.55
Martinska Ves 1,HR00386826,HR0038682600,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,3,Completed,Oil,Completed Oil,1955,9/30/1955,INA,INA,,,Martinska Ves,KB,103.00,1829.00,Vertical,,Completed,Oil,21 July 1955,100000109697,,45.59270400000,16.34386000000,487821.32,5050329.16
Martinska Ves 2,HR00388576,HR0038857600,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Outpost,3,Completed,Oil,Completed Oil,1962,11/15/1962,INA,INA,,,Martinska Ves,KB,104.00,1731.00,Vertical,,Completed,Oil,05 October 1962,100000109693,,45.58344700000,16.37492000000,490243.08,5049296.16
Narta 1,HR00386946,HR0038694600,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1963,2/18/1963,INA,INA,,,,KB,128.00,956.50,,,Abandoned,Dry/Shows,01 February 1963,100000594325,Nar-1,45.83479900000,16.80975500000,524067.20,5077269.10
