WELL_NAME,UWI,BHI,COUNTRY,BASIN_NAME,OPERATOR,CLASS,Petrel Well Symbol,TCH_STAT,CONTENT,GEN_STATUS,SPUD_DT_YR,LTCOMP_DT,GRP_NAME,OP_ACRONYM,CONTRACT,BLOCK_NAME,FIELD_NAME,D_REF_TYPE,ELEV_REF_M,TD_M,DEV_TYPE,BLK_OP_ACR,TECH_STAT,GN_CONT,SPUD_DT_TX,WEL_ID,ALT_WNAME,W84_LAT_DG,W84_LON_DG,POINT_X,POINT_Y
Stakorovec 1,HR00387693,HR0038769300,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1957,9/26/1957,INA,INA,,,,KB,176.00,1366.80,,,Abandoned,Dry/Shows,03 September 1957,100000595016,St-1,45.85129300000,16.27689300000,482676.55,5079079.74
Stakorovec 2,HR00387695,HR0038769500,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1958,10/19/1958,INA,INA,,,,KB,187.00,1739.70,,,Abandoned,Dry/Shows,09 August 1958,100000595018,St-2,45.86826700000,16.26986000000,482135.79,5080967.73
Subotica 1,HR00387777,HR0038777700,Croatia,Somogy Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1942,3/9/1942,INA,INA,,,,KB,232.00,1302.50,,,Abandoned,Dry/Shows,03 January 1942,100000595049,Su-1,46.17903500000,16.74520400000,518934.72,5115510.16
Subotica 2,HR00387778,HR0038777800,Croatia,Somogy Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,39,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1962,5/16/1962,INA,INA,,,,KB,185.00,1950.30,,,Abandoned,Dry/Shows,03 February 1962,100000595050,Su-2,46.16811200000,16.68465800000,514263.07,5114283.49
Subotica 3,HR00387779,HR0038777900,Croatia,Somogy Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1962,3/22/1963,INA,INA,,,,KB,212.00,2097.30,,,Abandoned,Dry/Shows,13 November 1962,100000595051,Su-3,46.16353900000,16.66689900000,512892.77,5113772.20
Subotica 4,HR00387780,HR0038778000,Croatia,Somogy Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,41,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1963,5/27/1963,INA,INA,,,,KB,172.00,1993.60,,,Abandoned,Dry/Shows,12 April 1963,100000595052,Su-4,46.16669300000,16.67601600000,513596.08,5114124.26
Subotica 5,HR00387781,HR0038778100,Croatia,Somogy Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1963,8/6/1963,INA,INA,,,,KB,182.00,2090.40,,,Abandoned,Dry/Shows,08 June 1963,100000595053,Su-5,46.16391100000,16.65599200000,512050.38,5113811.83
Tenjski Antunovac 1,HR00387917,HR0038791700,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1958,7/1/1958,INA,INA,,,,KB,89.00,2140.80,,,Abandoned,Dry/Shows,19 March 1958,100000595207,Te-1,45.49868700000,18.67397100000,669903.31,5042168.55
Topolovac 1,HR00387919,HR0038791900,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1963,10/2/1963,INA,INA,,,,KB,181.00,1234.70,,,Abandoned,Dry/Shows,10 September 1963,100000595209,To-1,46.06103500000,16.76079200000,520181.22,5102399.18
Vera 1,HR00387946,HR0038794600,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1963,6/11/1963,INA,INA,,,,KB,88.00,1443.00,,,Abandoned,Dry/Shows,24 May 1963,100000595232,Ve-1,45.44689300000,18.86854400000,685279.13,5036842.92
Vrbovec 1,HR00384963,HR0038496300,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,41,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1953,9/3/1953,INA,INA,,,,KB,110.00,203.70,,,Abandoned,Dry/Shows,29 August 1953,100000595271,Vr-1,45.86592500000,16.44449200000,495693.89,5080683.19
Vrbovec 2,HR00388656,HR0038865600,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,39,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1954,8/31/1954,INA,INA,,,,KB,114.00,1086.00,,,Abandoned,Dry/Shows,30 July 1954,100000595272,Vr-2,45.84549600000,16.39644700000,491960.61,5078416.48
Vrbovec 3,HR00387986,HR0038798600,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1955,9/1/1955,INA,INA,,,,KB,108.00,1584.50,,,Abandoned,Dry/Shows,06 July 1955,100000595273,Vr-3,45.83387100000,16.35417500000,488674.95,5077129.64
Zagreb Salata 1,HR00424185,HR0042418500,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Geothermal,51,Completed,Oil,Water,1981,10/1/1981,INA,INA,,,,KB,128.00,1034.62,,,Completed,Water,16 August 1981,100000595284,SALt-1,45.81595200000,15.98474600000,459962.28,5075256.95
Zutica 001ZA,HR00387998,HR0038799800,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Outpost,41,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1973,6/8/1973,INA,INA,,,Zutica,KB,103.00,2548.00,,,Abandoned,Dry/Shows,18 May 1973,100000595298,Zu-1ZA,45.64230400000,16.38507000000,491044.51,5055835.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dave Imput CWDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luis Manual creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
