Well Name,Measured Depth from KB (ft),Raw pick time (ms)
B1-106/04,9262.0,1762.6
B1-106/04,9310.8,1769.4
B1-106/04,9360.2,1776.0
B1-106/04,9409.6,1782.8
B1-106/04,9459.0,1790.2
B1-106/04,9507.8,1797.1999999999998
B1-106/04,9557.2,1804.4
B1-106/04,9606.6,1811.6000000000001
B1-106/04,9638.7,1816.0
B1-106/04,9656.0,1818.4
B1-106/04,9704.7,1825.2
B1-106/04,9754.1,1831.3999999999999
B1-106/04,9803.5,1837.3999999999999
B1-106/04,9852.9,1843.3999999999999
B1-106/04,9901.8,1849.0
B1-106/04,9951.2,1854.4
B1-106/04,10000.6,1860.0
B1-106/04,10050.0,1866.4
B1-106/04,10475.9,1921.6
