Well Name,Measured Depth from KB (ft),Raw pick time (ms)
T2-103,355.0,0.0
T2-103,600.0,111.66257517093666
T2-103,700.2,138.86257517093665
T2-103,800.7,152.66257517093666
T2-103,900.5,195.86257517093665
T2-103,1000.6,222.66257517093666
T2-103,1100.3,250.26257517093669
T2-103,1184.1,276.4625751709367
T2-103,1300.0,308.66257517093663
T2-103,1400.0,336.66257517093663
T2-103,1500.0,361.8625751709367
T2-103,1700.6,416.66257517093663
T2-103,1800.5,439.0625751709366
T2-103,1900.0,465.0625751709366
T2-103,2000.0,489.66257517093663
T2-103,2100.0,517.0625751709366
T2-103,2200.4,544.4625751709366
T2-103,2299.9,573.0625751709366
T2-103,2400.0,599.0625751709366
T2-103,2500.0,623.6625751709366
T2-103,2600.2,644.0625751709366
T2-103,2700.2,668.2625751709367
T2-103,2800.8,695.2625751709367
T2-103,2900.3,722.4625751709366
T2-103,3000.8,744.8625751709367
T2-103,3100.0,771.6625751709366
T2-103,3200.0,796.6625751709366
T2-103,3300.0,823.2625751709367
T2-103,3399.7,845.6625751709366
T2-103,3500.7,870.4625751709366
T2-103,3500.7,870.4625751709366
T2-103,3601.0,893.6625751709366
T2-103,3698.2,915.6625751709366
T2-103,3800.3,940.6625751709366
T2-103,3900.9,966.2625751709365
T2-103,4000.0,992.8625751709367
T2-103,4050.4,1003.8625751709367
T2-103,4130.1,1017.8625751709367
T2-103,4220.0,1033.0625751709367
T2-103,4310.0,1047.4625751709366
T2-103,4390.3,1058.6625751709366
T2-103,4470.3,1072.8625751709367
T2-103,4560.0,1088.2625751709365
T2-103,4640.0,1102.2625751709365
T2-103,4725.5,1116.0625751709367
T2-103,4810.5,1130.2625751709365
T2-103,4980.1,1158.6625751709366
T2-103,5059.9,1172.0625751709367
T2-103,5150.0,1187.8625751709367
T2-103,5249.9,1204.4625751709366
T2-103,5349.9,1221.0625751709367
T2-103,5430.3,1234.6625751709366
T2-103,5530.1,1250.2625751709365
T2-103,5620.0,1263.8625751709367
T2-103,5712.4,1279.2625751709365
T2-103,5799.8,1294.2625751709365
T2-103,5900.0,1311.6625751709366
T2-103,6000.2,1324.6625751709366
T2-103,6100.4,1343.6625751709366
T2-103,6189.9,1357.6625751709366
T2-103,6290.1,1375.6625751709366
T2-103,6390.0,1389.6625751709366
T2-103,6480.4,1405.6625751709366
T2-103,6569.9,1421.6625751709366
T2-103,6670.1,1433.4625751709366
T2-103,6780.1,1448.4625751709366
T2-103,6900.0,1471.0625751709367
T2-103,7000.0,1484.4625751709366
T2-103,7100.0,1498.4625751709366
T2-103,7190.1,1512.0625751709367
T2-103,7289.9,1527.0625751709367
T2-103,7390.0,1539.8625751709367
T2-103,7490.0,1549.6625751709366
T2-103,7590.0,1560.8625751709367
T2-103,7690.0,1572.0625751709367
T2-103,7800.2,1586.2625751709365
T2-103,7909.7,1602.2625751709365
T2-103,8020.1,1615.4625751709366
T2-103,8140.1,1628.0625751709367
T2-103,8265.1,1647.6625751709366
T2-103,8390.0,1658.6625751709366
T2-103,8500.0,1671.4625751709366
T2-103,8625.0,1685.0625751709367
T2-103,8740.0,1699.4625751709366
T2-103,8840.1,1713.6625751709366
T2-103,8930.4,1728.0625751709367
T2-103,9009.9,1740.8625751709367
T2-103,9100.2,1755.6625751709366
T2-103,9190.0,1770.4625751709366
T2-103,9290.0,1785.8625751709367
T2-103,9400.0,1799.0625751709367
T2-103,9510.0,1813.4625751709366
T2-103,9612.6,1825.8625751709367
T2-103,9650.0,1833.2625751709365
T2-103,9752.0,1847.6625751709366
T2-103,9860.0,1859.4625751709366
T2-103,9870.0,1849.6625751709366
T2-103,9990.0,1872.8625751709367
T2-103,10120.0,1892.0625751709367
T2-103,10500.0,1948.1856520940137
