Well Name,Measured Depth from KB (ft),Raw pick time (ms)
D1-103,364.5,0.0
D1-103,573.0,65.8
D1-103,1500.0,343.0
D1-103,4500.0,1034.6
D1-103,5300.0,1166.1999999999998
D1-103,5500.0,1195.8
D1-103,5600.0,1210.3999999999999
D1-103,5700.0,1227.4
D1-103,6300.0,1321.8000000000002
D1-103,6886.0,1401.2
D1-103,7700.0,1516.2
D1-103,8110.0,1567.3999999999999
D1-103,8640.0,1633.0
D1-103,8946.0,1683.0
D1-103,9280.0,1719.0
D1-103,9880.0,1834.2
D1-103,9923.0,1841.2765714285715
