Well Name,Measured Depth from KB (ft),Raw pick time (ms)
T1-103,354.4,0.0
T1-103,500.0,48.886366257517096
T1-103,1000.0,162.0863662575171
T1-103,1600.0,306.4863662575171
T1-103,2500.0,550.4863662575171
T1-103,3000.0,668.4863662575171
T1-103,3672.0,832.886366257517
T1-103,4168.0,954.086366257517
T1-103,5025.0,1096.6863662575172
T1-103,5350.0,1151.286366257517
T1-103,5870.0,1236.8863662575172
T1-103,6400.0,1320.8863662575172
T1-103,6960.0,1399.286366257517
T1-103,7610.0,1495.086366257517
T1-103,8025.0,1550.8863662575172
T1-103,8450.0,1603.286366257517
T1-103,8900.0,1651.286366257517
T1-103,9200.0,1714.6863662575172
T1-103,9536.0,1760.4863662575171
T1-103,9776.0,1798.086366257517
T1-103,10154.0,1834.4863662575171
T1-103,10290.0,1858.086366257517
T1-103,10600.0,1911.8804839045756
